Id,Name,Place,Type,Price,ReviewsCount,Rating,City,State
359,ss Rotterdam Hotel en Restaurants,Feijenoord; Rotterdam,Twin Standard,6539,500,8.3,Feijenoord, Rotterdam
360,Stayokay Hostel Rotterdam,Centrum; Rotterdam,Twin Room with Private Bathroom and Shower,7558,500,8,Centrum, Rotterdam
361,Boulevard Hotel Scheveningen,Scheveningen,Comfort Twin Room with Shower,12042,1586,8.6,Scheveningen,
362,Ramada The Hague Scheveningen,Scheveningen,Standard Twin Room,12900,500,8.5,Scheveningen,
363,Aquarius Hotel,Scheveningen,Comfort Double Room,13063,2458,8.5,Scheveningen,
364,Hotel De Stern,Scheveningen,Budget Double Room,10614,550,8.3,Scheveningen,
365,Fletcher Hotel-Restaurant Scheveningen,Scheveningen,Double Room,11757,937,8,Scheveningen,
366,limehome Den Haag Keizerstraat,Scheveningen,Suite,12573,500,8.4,Scheveningen,
367,Inntel Hotels Den Haag Marina Beach,Scheveningen,City Twin Room,13063,1801,8.1,Scheveningen,
368,De Pier Suites,Scheveningen,Penthouse Room with Beach View,16084,1567,8.4,Scheveningen,
369,Sea Breeze loft apartment II,Scheveningen,One-Bedroom Apartment,21962,22,8.3,Scheveningen,
370,easyHotel The Hague Scheveningen Beach,Scheveningen,Standard Double Room,8491,3724,7.6,Scheveningen,
371,Badhotel Scheveningen,Scheveningen,Standard Twin Room,10042,3750,7.6,Scheveningen,
372,Carlton Beach,Scheveningen,Double Room with Balcony,12410,500,7.7,Scheveningen,
373,Jordans Residence,Scheveningen,Studio with Sea View,14777,610,7.6,Scheveningen,
374,Hotel Albion,Scheveningen,Deluxe Twin Room,19472,324,7.6,Scheveningen,
375,Hotel Andante aan Zee,Scheveningen,Double Room,9405,4276,7.2,Scheveningen,
376,ibis Styles Den Haag Scheveningen,Scheveningen,Standard Room,10532,1218,7.4,Scheveningen,
377,Bilderberg Europa Hotel Scheveningen,Scheveningen,Comfort Double Room,12165,500,7.1,Scheveningen,
378,Hotel 't Sonnehuys,Scheveningen,Double Room,13961,247,7.2,Scheveningen,
379,Grand Hotel Amrâth Kurhaus The Hague Scheveningen,Scheveningen,Superior Double Room,15680,7748,7.2,Scheveningen,
380,Hotel 't Witte Huys Scheveningen,Scheveningen,Double Room,15022,758,6.6,Scheveningen,
381,New City Hotel Scheveningen,Scheveningen,Standard Double Room,9797,1149,6.2,Scheveningen,
382,Ben's Boutique Hotel,Scheveningen,Standard Double Room,10695,91,6.4,Scheveningen,
383,Slapen onder de Dom,City Centre; Utrecht,Deluxe Double Room,12246,136,9.3,City Centre, Utrecht
384,Logement Swaenenvecht,Utrecht,Deluxe Double Room,11838,425,9,Utrecht,
385,Werfkelder aan de Oudegracht,City Centre; Utrecht,Apartment,13308,500,9.3,City Centre, Utrecht
386,Logement Petit Beijers,City Centre; Utrecht,Superior Double Room,12736,362,9.4,City Centre, Utrecht
387,MUZE Hotel Utrecht,City Centre; Utrecht,Deluxe Double Room with Bath,13471,418,9.3,City Centre, Utrecht
388,The Nox Hotel,City Centre; Utrecht,Small Double Room,13471,351,9,City Centre, Utrecht
389,Hotel Beijers,City Centre; Utrecht,Standard Double Room,14696,724,9.2,City Centre, Utrecht
390,Stayokay Hostel Utrecht Centrum,City Centre; Utrecht,Comfort Double with Private Bathroom and Shower,9307,500,8.5,City Centre, Utrecht
391,Eye Hotel,City Centre; Utrecht,Small Double Room,10936,500,8.7,City Centre, Utrecht
392,Van der Valk Hotel Utrecht,Zuidwest; Utrecht,Comfort Double Room,11226,500,8.6,Zuidwest, Utrecht
393,Inntel Hotels Utrecht Centre,City Centre; Utrecht,City Double Room,11757,3803,8.5,City Centre, Utrecht
394,The Hunfeld,City Centre; Utrecht,Small Double Room,11906,903,8.7,City Centre, Utrecht
395,Brass,City Centre; Utrecht,Superior King Room,13167,508,8.6,City Centre, Utrecht
396,Mother Goose Hotel,City Centre; Utrecht,Small Double Room,13798,500,8.9,City Centre, Utrecht
397,Hotel Simple,City Centre; Utrecht,Deluxe Suite,13226,787,8.7,City Centre, Utrecht
